name,reviewCount,rating,published,title,content,brand,contentclean,sscore,gender,ts,year,month,weekday
Nick,104.0,55,2020-02-23,Nemt at bestille,"Nemt at bestille, og hurtig levering.",Elgiganten,"Nemt at bestille, og hurtig levering.",1.1666666666666665,Ukendt,2020-02-23,2020,2,6
Christian,5.0,15,2021-02-16,4 ugers forsinkelse og ingen service,"På dagen for leverancen fik viben sms om at produktet var forsinket og først kunne leveres 4 uger senere. Stor udfordring for en børnefamilie..Efter 15 min i kø på tlf. Kom jeg igennem til kundecenteret som efter 10 minutters dialog uden mulighed for alternativ maskine der var i nærheden af den bestilte eller en låne maskine, forslog medarbejderen, at vi kiggede på hjemmesiden og fandt noget andet! Så kunne vi ringe igen. Den maskine vi havde bestilt var ifølge hjemmesiden stadig på lager, men nu ikke på tilbud  Vi endte med at annullere ordren og købe hos et firma der tager deres kunder og service seriøst.Meget dårlig service af så stor en virksomhed. Vi handler aldrig hos Elgiganten ign.",Elgiganten,"På dagen for leverancen fik viben sms om at produktet var forsinket og først kunne leveres 4 uger senere. Stor udfordring for en børnefamilie..Efter 15 min i kø på tlf. Kom jeg igennem til kundecenteret som efter 10 minutters dialog uden mulighed for alternativ maskine der var i nærheden af den bestilte eller en låne maskine, forslog medarbejderen, at vi kiggede på hjemmesiden og fandt noget andet! Så kunne vi ringe igen. Den maskine vi havde bestilt var ifølge hjemmesiden stadig på lager, men nu ikke på tilbud  Vi endte med at annullere ordren og købe hos et firma der tager deres kunder og service seriøst.Meget dårlig service af så stor en virksomhed. Vi handler aldrig hos  ign.",-0.16605487500000038,M,2021-02-16,2021,2,1
Annemette,51.0,55,2020-05-21,God oplevelse,Meget hurtig levering til en beskeden fragt. Jeg sparede meget tid ved at bestille online.,Elgiganten,Meget hurtig levering til en beskeden fragt. Jeg sparede meget tid ved at bestille online.,1.044444444444444,F,2020-05-21,2020,5,3
Anne Spangsberg,19.0,35,2021-07-15,Bring som fragtmand er et problem,"Det er et problem, at I bruger Bring som fragtmand. Som regel ringer de ikke på, og så skal vi hente pakken i Kr. Saaby, 5 km. herfra.De andre fragtmænd har et afhentningssted i Hvalsø.",Elgiganten,"Det er et problem, at I bruger Bring som fragtmand. Som regel ringer de ikke på, og så skal vi hente pakken i Kr. Saaby, 5 km. herfra.De andre fragtmænd har et afhentningssted i Hvalsø.",-0.6388888888888888,F,2021-07-15,2021,7,3
Knud Erik Mortensen,15.0,55,2020-06-20,God og hurtig levering og betjening og…,God og hurtig levering og betjening og varen er som beskrevet så helt ok,Elgiganten,God og hurtig levering og betjening og varen er som beskrevet så helt ok,1.2222222222222212,M,2020-06-20,2020,6,5
Finn Rasmussen,20.0,45,2019-11-09,Bosch vaskemaskine,Jeg er udmærket tilfreds med handelen.,Elgiganten,Jeg er udmærket tilfreds med handelen.,1.7222222222222212,M,2019-11-09,2019,11,5
kunde,6.0,15,2021-03-24,Skidt at bede om niveau for tilfredshed…,Skidt at bede om niveau for tilfredshed inden varen er leveret.,Elgiganten,Skidt at bede om niveau for tilfredshed inden varen er leveret.,0.35000000000000064,Ukendt,2021-03-24,2021,3,2
Elisabeth Marina Amalie Juel,15.0,55,2020-05-04,Hurtig levering!,Dato for oplevelse: 04. maj 2020,Elgiganten,Dato for oplevelse: 04. maj 2020,0.166666666666667,F,2020-05-04,2020,5,0
Birgith,7.0,45,2021-01-29,Der var styr på corona sikkerhed,Der var styr på corona sikkerhedAlt gik smurt😀😀😀Mangler måske lidt snak om produktet det bliver hentet,Elgiganten,Der var styr på corona sikkerhedAlt gik smurt😀😀😀Mangler måske lidt snak om produktet det bliver hentet,0.2777777777777775,F,2021-01-29,2021,1,4
Klaus Fredskild,15.0,55,2020-04-11,Alt tip top😊,Fin pris. Hurtig levering😊,Elgiganten,Fin pris. Hurtig levering😊,1.4444444444444435,M,2020-04-11,2020,4,5
